gap_id,hipaa_control,control_description,rego_policy,terraform_resource,terraform_file,ci_check,oscal_component,status
GAP-01,164.312(a)(2)(iv),Encryption and Decryption — S3 PHI bucket must use CMK,policies/hipaa/gap01_s3_kms_encryption.rego,aws_s3_bucket_server_side_encryption_configuration.uploads,terraform/compliance-baseline.tf,conftest gap01,oscal/component-definition.json,CLOSED
GAP-02,164.312(a)(2)(iv),Encryption and Decryption — DynamoDB PHI table must use CMK,policies/hipaa/gap02_dynamodb_kms.rego,aws_dynamodb_table.intake_compliant,terraform/compliance-baseline.tf,conftest gap02,oscal/component-definition.json,CLOSED
GAP-03,164.312(e)(1),Transmission Security — S3 must deny non-TLS requests,policies/hipaa/gap03_s3_tls_only.rego,aws_s3_bucket_policy.uploads_tls_only,terraform/compliance-baseline.tf,conftest gap03,oscal/component-definition.json,CLOSED
GAP-04,164.308(a)(7),Contingency Plan — S3 versioning enables recovery of PHI,policies/hipaa/gap04_s3_versioning.rego,aws_s3_bucket_versioning.uploads,terraform/compliance-baseline.tf,conftest gap04,oscal/component-definition.json,CLOSED
GAP-05,164.312(e)(1),Transmission Security — Lambda must run inside VPC,policies/hipaa/gap05_lambda_vpc.rego,aws_lambda_function.intake_vpc,terraform/compliance-baseline.tf,conftest gap05,oscal/component-definition.json,CLOSED
GAP-06,SOC2 CC7.2 / CMMC SI.L2-3.14.6,Availability — Lambda DLQ and reserved concurrency,policies/hipaa/gap06_lambda_dlq_concurrency.rego,aws_lambda_function.drift_detector (DLQ + concurrency pattern),terraform/monitoring.tf,conftest gap06,oscal/component-definition.json,CLOSED
GAP-07,164.312(a)(1),Access Control — Lambda IAM role least privilege,policies/hipaa/gap07_iam_least_privilege.rego,aws_iam_role_policy.lambda_least_privilege,terraform/compliance-baseline.tf,conftest gap07,oscal/component-definition.json,CLOSED
GAP-08,164.312(b),Audit Controls — API Gateway access logging + throttling,policies/hipaa/gap08_api_gw_logging.rego,"aws_apigatewayv2_stage.default, aws_cloudwatch_log_group.api_access_logs",terraform/main.tf + terraform/compliance-baseline.tf,conftest gap08,oscal/component-definition.json,CLOSED
N/A,164.312(b),Audit Controls — CloudTrail multi-region,N/A,aws_cloudtrail.main,terraform/cloudtrail.tf,N/A,oscal/component-definition.json,CLOSED
N/A,164.312(b),Audit Controls — continuous Config rules,N/A,aws_config_config_rule.*,terraform/monitoring.tf,N/A,oscal/component-definition.json,CLOSED
N/A,164.312(a)(2)(iv),KMS CMK auto-rotation,N/A,aws_kms_key.phi (enable_key_rotation=true),terraform/kms.tf,N/A,oscal/component-definition.json,CLOSED
N/A,164.312(b),Evidence vault — immutable S3 Object Lock,N/A,aws_s3_bucket_object_lock_configuration.evidence_vault,terraform/evidence-vault.tf,N/A,oscal/component-definition.json,CLOSED
